Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration,Datetime,ISO Date,location,moon_theta,moon_phi,sun_theta,sun_phi
9380,1942 August 12,02:45:12,26,-710,115,Pe,-1.5244,0.0561,70.4S,99.9E,0,39,,,1942-08-12 02:45:12,1942-08-12T02:45:12.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",140.42,-1.91189,139.57,0.00301137
9381,1942 September 10,15:39:32,26,-709,153,P,1.2571,0.523,71.9N,50.0E,0,286,,,1942-09-10 15:39:32,1942-09-10T15:39:32.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",167.651,0.356522,168.089,-0.00109247
9382,1943 February 4,23:38:10,26,-704,120,T,0.8734,1.0331,43.6N,175.1E,29,165,229,02m39s,1943-02-04 23:38:10,1943-02-04T23:38:10.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",316.07,0.402999,316.087,-0.00569496
9383,1943 August 1,04:16:13,26,-698,125,A,-0.8041,0.9409,34.8S,108.6E,36,11,367,06m59s,1943-08-01 04:16:13,1943-08-01T04:16:13.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",129.683,-1.1816,128.843,0.00407764
9384,1944 January 25,15:26:42,26,-692,130,T,0.2025,1.0428,7.6S,50.2W,78,172,146,04m09s,1944-01-25 15:26:42,1944-01-25T15:26:42.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",304.553,-0.418553,305.329,-0.00698749
9385,1944 July 20,05:43:13,27,-686,135,A,-0.0314,0.97,19.0N,95.7E,88,6,108,03m42s,1944-07-20 05:43:13,1944-07-20T05:43:13.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",118.905,-0.461936,118.142,0.00487991
9386,1945 January 14,05:01:43,27,-680,140,A,-0.4937,0.997,51.1S,110.3E,60,354,12,00m15s,1945-01-14 05:01:43,1945-01-14T05:01:43.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",294.985,-1.20139,294.453,-0.00824535
9387,1945 July 9,13:27:46,27,-674,145,T,0.7356,1.018,70.0N,17.2W,42,184,92,01m15s,1945-07-09 13:27:46,1945-07-09T13:27:46.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",107.322,0.272416,107.709,0.00553143
9388,1946 January 3,12:16:11,27,-668,150,P,-1.2392,0.5529,67.1S,177.6E,0,180,,,1946-01-03 12:16:11,1946-01-03T12:16:11.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",282.938,-1.98033,283.291,-0.00891066
9389,1946 May 30,21:00:24,28,-663,117,P,-1.0711,0.8865,64.1S,101.0W,0,328,,,1946-05-30 21:00:24,1946-05-30T21:00:24.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",69.154,-1.88928,69.5687,0.00474219
9390,1946 June 29,03:51:58,28,-662,155,P,1.4361,0.1802,66.6N,50.8W,0,6,,,1946-06-29 03:51:58,1946-06-29T03:51:58.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",98.1301,0.736072,97.5522,0.00505082
9391,1946 November 23,17:37:12,28,-657,122,P,1.105,0.7758,63.4N,45.3W,0,219,,,1946-11-23 17:37:12,1946-11-23T17:37:12.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",241.177,0.307932,241.578,-0.00813463
9392,1947 May 20,13:47:47,28,-651,127,T,-0.3528,1.0557,0.2N,21.4W,69,343,196,05m13s,1947-05-20 13:47:47,1947-05-20T13:47:47.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",58.9214,-0.713804,59.4371,0.00525082
9393,1947 November 12,20:05:37,28,-645,132,A,0.3743,0.965,3.0N,117.4W,68,200,135,03m59s,1947-11-12 20:05:37,1947-11-12T20:05:37.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",230.055,-0.23652,230.323,-0.00719763
9394,1948 May 9,02:26:04,28,-639,137,A,0.4133,0.9999,39.8N,131.2E,65,153,0,00m00s,1948-05-09 02:26:04,1948-05-09T02:26:04.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",49.3365,-0.482024,49.0913,0.0033304
9395,1948 November 1,05:59:18,29,-633,142,T,-0.3517,1.0231,33.1S,76.2E,69,28,84,01m56s,1948-11-01 05:59:18,1948-11-01T05:59:18.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",220.289,-0.813085,219.443,-0.00584019
9396,1949 April 28,07:48:53,29,-627,147,P,1.2068,0.6092,61.9N,55.7W,0,59,,,1949-04-28 07:48:53,1949-04-28T07:48:53.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",38.6046,0.449748,38.3988,0.00290862
9397,1949 October 21,21:13:01,29,-621,152,P,-1.0270000000000001,0.9638,61.5S,107.5E,0,113,,,1949-10-21 21:13:01,1949-10-21T21:13:01.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",208.648,-1.67905,208.838,-0.00527636
9398,1950 March 18,15:32:01,29,-616,119,A-,-0.9988,0.9620000000000001,60.9S,40.9E,0,268,-,-,1950-03-18 15:32:01,1950-03-18T15:32:01.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",357.469,-1.27004,358.162,-0.000754472
9399,1950 September 12,03:38:47,29,-610,124,T,0.8903,1.0182,54.8N,172.3E,27,236,134,01m14s,1950-09-12 03:38:47,1950-09-12T03:38:47.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",170.456,0.471674,169.499,-0.000145704
9400,1951 March 7,20:53:40,30,-604,129,A,-0.242,0.9896,17.7S,123.5W,76,330,38,00m59s,1951-03-07 20:53:40,1951-03-07T20:53:40.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",346.563,-0.629883,347.154,-0.00184672
9401,1951 September 1,12:51:51,30,-598,134,A,0.1557,0.9747,16.5N,8.5W,81,208,91,02m36s,1951-09-01 12:51:51,1951-09-01T12:51:51.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",158.913,-0.477065,158.945,0.000414925
9402,1952 February 25,09:11:35,30,-592,139,T,0.4697,1.0366,15.6N,32.7E,62,152,138,03m09s,1952-02-25 09:11:35,1952-02-25T09:11:35.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",336.421,-0.418072,336.381,-0.00440797
9403,1952 August 20,15:13:35,30,-586,144,A,-0.6102,0.9420000000000001,21.7S,64.1W,52,27,264,06m40s,1952-08-20 15:13:35,1952-08-20T15:13:35.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",147.786,-1.25238,148.171,0.000835098
9404,1953 February 14,00:59:30,30,-580,149,P,1.1331,0.7596,61.9N,104.9E,0,119,,,1953-02-14 00:59:30,1953-02-14T00:59:30.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",325.677,0.536176,325.696,-0.00422528
9405,1953 July 11,02:44:14,30,-575,116,P,1.4388,0.2015,64.3N,71.7W,0,331,,,1953-07-11 02:44:14,1953-07-11T02:44:14.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",109.894,0.653869,109.146,0.00365511
9406,1953 August 9,15:55:03,30,-574,154,P,-1.344,0.3729,62.2S,114.7W,0,54,,,1953-08-09 15:55:03,1953-08-09T15:55:03.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",136.852,-1.93205,137.385,0.00182625
9407,1954 January 5,02:32:01,31,-569,121,A,-0.9296,0.972,79.1S,120.8W,21,260,278,01m42s,1954-01-05 02:32:01,1954-01-05T02:32:01.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",285.41,-1.37092,284.861,-0.00685354
9408,1954 June 30,12:32:38,31,-563,126,T,0.6135,1.0357,60.5N,4.2E,52,197,153,02m35s,1954-06-30 12:32:38,1954-06-30T12:32:38.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",98.6578,0.225411,98.8006,0.00482077
9409,1954 December 25,07:36:42,31,-557,131,A,-0.2576,0.9323,38.4S,68.2E,75,352,262,07m39s,1954-12-25 07:36:42,1954-12-25T07:36:42.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",274.142,-0.988787,273.603,-0.00780433
9410,1955 June 20,04:10:42,31,-551,136,T,-0.1528,1.0776,14.8N,117.0E,81,5,254,07m08s,1955-06-20 04:10:42,1955-06-20T04:10:42.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",89.3716,-0.893516,88.6921,0.00405195
9411,1955 December 14,07:02:25,31,-545,141,A,0.4266,0.9176,2.1N,72.2E,65,178,346,12m09s,1955-12-14 07:02:25,1955-12-14T07:02:25.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",262.689,-0.28522,262.118,-0.00757148
9412,1956 June 8,21:20:39,32,-539,146,T,-0.8934,1.0581,40.8S,140.7W,26,0,429,04m45s,1956-06-08 21:20:39,1956-06-08T21:20:39.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",78.1219,-1.74792,78.6194,0.00362329
9413,1956 December 2,08:00:35,32,-533,151,P,1.0923,0.8047,67.9N,64.6E,0,187,,,1956-12-02 08:00:35,1956-12-02T08:00:35.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",251.216,0.305801,250.729,-0.00733843
9414,1957 April 30,00:05:28,32,-528,118,A+,0.9992,0.9799,70.6N,40.3E,0,41,-,-,1957-04-30 00:05:28,1957-04-30T00:05:28.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",39.9691,0.126521,39.976,0.001898
9415,1957 October 23,04:54:02,32,-522,123,T-,-1.0022,1.0013,71.2S,23.1W,0,127,-,-,1957-10-23 04:54:02,1957-10-23T04:54:02.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",211.119,-1.38791,210.107,-0.0042282
9416,1958 April 19,03:27:17,32,-516,128,A,0.275,0.9408,26.5N,123.6E,74,164,228,07m07s,1958-04-19 03:27:17,1958-04-19T03:27:17.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",29.481,-0.584142,29.1529,0.000770564
9417,1958 October 12,20:55:28,33,-510,133,T,-0.2951,1.0608,24.0S,142.4W,73,18,209,05m11s,1958-10-12 20:55:28,1958-10-12T20:55:28.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",199.517,-1.01252,199.593,-0.00379205
9418,1959 April 8,03:24:08,33,-504,138,A,-0.4546,0.9401,19.1S,137.6E,63,343,247,07m26s,1959-04-08 03:24:08,1959-04-08T03:24:08.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",18.3581,-1.23448,18.1215,-0.000186661
9419,1959 October 2,12:27:00,33,-498,143,T,0.4207,1.0325,20.4N,1.4W,65,199,120,03m02s,1959-10-02 12:27:00,1959-10-02T12:27:00.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",189.138,-0.362153,189.12,-0.00297779
9420,1960 March 27,07:25:07,33,-492,148,P,-1.1537,0.7058,72.1S,151.9E,0,279,,,1960-03-27 07:25:07,1960-03-27T07:25:07.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",7.36492,-1.9165,7.19136,-0.00109765
9421,1960 September 20,22:59:56,33,-486,153,P,1.2057,0.6139,72.1N,74.1W,0,273,,,1960-09-20 22:59:56,1960-09-20T22:59:56.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",178.648,0.502603,178.508,-0.00193475
9422,1961 February 15,08:19:48,34,-481,120,T,0.883,1.036,47.4N,40.0E,28,159,258,02m45s,1961-02-15 08:19:48,1961-02-15T08:19:48.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",327.289,-0.0459968,326.968,-0.00455471
9423,1961 August 11,10:46:47,34,-475,125,A,-0.8859,0.9375,45.8S,4.0E,27,17,499,06m35s,1961-08-11 10:46:47,1961-08-11T10:46:47.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",139.36,-1.1922,139.052,0.00174455
9424,1962 February 5,00:12:38,34,-469,130,T,0.2107,1.043,4.2S,178.1E,78,169,147,04m08s,1962-02-05 00:12:38,1962-02-05T00:12:38.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",316.261,-0.291508,316.244,-0.00436086
9425,1962 July 31,12:25:33,34,-463,135,Am,-0.113,0.9716,12.0N,5.7W,84,9,103,03m33s,1962-07-31 12:25:33,1962-07-31T12:25:33.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",128.274,-0.553564,128.334,0.00239375
9426,1963 January 25,13:37:12,35,-457,140,A,-0.4898,0.9951,48.2S,15.0W,60,348,20,00m25s,1963-01-25 13:37:12,1963-01-25T13:37:12.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",304.767,-1.20308,305.379,-0.00540265
9427,1963 July 20,20:36:13,35,-451,145,T,0.6571,1.0224,61.7N,119.6W,49,191,101,01m40s,1963-07-20 20:36:13,1963-07-20T20:36:13.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",117.567,-0.253193,117.907,0.00181623
9428,1964 January 14,20:30:08,35,-445,150,P,-1.2354,0.5591,68.2S,43.1E,0,191,,,1964-01-14 20:30:08,1964-01-14T20:30:08.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",293.599,-1.45944,294.213,-0.00500091
9429,1964 June 10,04:34:07,35,-440,117,P,-1.1393,0.7545,65.0S,135.9E,0,338,,,1964-06-10 04:34:07,1964-06-10T04:34:07.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",80.5974,-1.91726,79.8197,0.00273716
9430,1964 July 9,11:17:53,35,-439,155,P,1.3623,0.3221,67.6N,172.9W,0,355,,,1964-07-09 11:17:53,1964-07-09T11:17:53.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",107.675,1.01846,107.753,0.00347148
9431,1964 December 4,01:31:54,36,-434,122,P,1.1193,0.7518,64.3N,173.3W,0,209,,,1964-12-04 01:31:54,1964-12-04T01:31:54.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",252.966,0.657305,252.43,-0.00542016
9432,1965 May 30,21:17:31,36,-428,127,T,-0.4225,1.0544,2.5S,133.8W,65,347,198,05m15s,1965-05-30 21:17:31,1965-05-30T21:17:31.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",69.2826,-1.22971,69.7046,0.00244661
9433,1965 November 23,04:14:51,36,-422,132,A,0.3906,0.9656,1.7N,119.8E,67,197,134,04m02s,1965-11-23 04:14:51,1965-11-23T04:14:51.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",241.943,-0.0604727,241.144,-0.00519629
9434,1966 May 20,09:39:02,37,-416,137,A,0.3467,0.9991,39.2N,26.4E,70,158,3,00m05s,1966-05-20 09:39:02,1966-05-20T09:39:02.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",59.5319,-0.128134,59.3923,0.00284172
9435,1966 November 12,14:23:28,37,-410,142,T,-0.33,1.0234,35.6S,48.2W,71,25,84,01m57s,1966-11-12 14:23:28,1966-11-12T14:23:28.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",229.867,-1.25095,230.215,-0.00580548
9436,1967 May 9,14:42:48,38,-404,147,P,1.1422,0.7201,62.5N,168.1W,0,50,,,1967-05-09 14:42:48,1967-05-09T14:42:48.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",48.0003,0.714454,48.7375,0.00265219
9437,1967 November 2,05:38:56,38,-398,152,T-,-1.0007,1.0126,62.0S,27.8W,0,122,-,-,1967-11-02 05:38:56,1967-11-02T05:38:56.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",220.376,-1.47552,219.56,-0.00392726
9438,1968 March 28,23:00:30,38,-393,119,P,-1.037,0.899,61.0S,79.8W,0,277,,,1968-03-28 23:00:30,1968-03-28T23:00:30.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",8.55557,-1.52415,8.76624,-0.000705925
9439,1968 September 22,11:18:46,39,-387,124,T,0.9451,1.0099,56.2N,64.0E,19,240,104,00m40s,1968-09-22 11:18:46,1968-09-22T11:18:46.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",180.275,0.281339,179.94,-0.00164181
9440,1969 March 18,04:54:57,39,-381,129,A,-0.2704,0.9954,14.8S,116.3E,74,330,16,00m26s,1969-03-18 04:54:57,1969-03-18T04:54:57.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",358.24,-1.14303,357.849,-0.00200945
9441,1969 September 11,19:58:59,40,-375,134,A,0.2201,0.9690000000000001,15.6N,114.1W,77,210,114,03m11s,1969-09-11 19:58:59,1969-09-11T19:58:59.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",169.151,-0.610815,169.31,-0.00164465
9442,1970 March 7,17:38:30,40,-369,139,T,0.4473,1.0414,18.2N,94.7W,63,150,153,03m28s,1970-03-07 17:38:30,1970-03-07T17:38:30.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",346.177,0.0861698,347.146,-0.0012597
9443,1970 August 31,21:55:30,41,-363,144,A,-0.5364,0.94,20.3S,164.0W,57,29,258,06m47s,1970-08-31 21:55:30,1970-08-31T21:55:30.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",158.491,-1.2067,158.468,-0.00084502
9444,1971 February 25,09:38:07,41,-357,149,P,1.1188,0.7872,61.4N,33.5W,0,110,,,1971-02-25 09:38:07,1971-02-25T09:38:07.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",336.44,0.264509,336.532,-0.00305331
9445,1971 July 22,09:31:55,42,-352,116,Pe,1.5130000000000001,0.0689,63.5N,177.0E,0,321,,,1971-07-22 09:31:55,1971-07-22T09:31:55.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",119.853,1.08854,119.327,0.00209948
9446,1971 August 20,22:39:31,42,-351,154,P,-1.2659,0.508,61.7S,135.4E,0,63,,,1971-08-20 22:39:31,1971-08-20T22:39:31.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",147.688,-1.88155,147.635,-0.00037184
9447,1972 January 16,11:03:22,42,-346,121,A,-0.9365,0.9692,74.9S,107.7E,20,263,321,01m53s,1972-01-16 11:03:22,1972-01-16T11:03:22.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",295.796,-1.77122,295.802,-0.00534946
9448,1972 July 10,19:46:38,43,-340,126,T,0.6872,1.0379,63.5N,94.2W,46,209,175,02m36s,1972-07-10 19:46:38,1972-07-10T19:46:38.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",108.619,-0.190913,108.993,0.00114937
9449,1973 January 4,15:46:21,43,-334,131,A,-0.2644,0.9303,37.9S,51.2W,74,346,271,07m49s,1973-01-04 15:46:21,1973-01-04T15:46:21.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",283.896,-0.859882,284.532,-0.00511346
9450,1973 June 30,11:38:41,44,-328,136,T,-0.0785,1.0792,18.8N,5.6E,86,9,256,07m04s,1973-06-30 11:38:41,1973-06-30T11:38:41.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",98.8459,-0.457294,98.8923,0.00261628
9451,1973 December 24,15:02:44,44,-322,141,A,0.4171,0.9174,1.1N,48.5W,65,174,345,12m02s,1973-12-24 15:02:44,1973-12-24T15:02:44.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",272.437,-0.333215,273.025,-0.00542075
9452,1974 June 20,04:48:04,45,-316,146,T,-0.8239,1.0592,32.1S,103.7E,34,5,344,05m09s,1974-06-20 04:48:04,1974-06-20T04:48:04.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",89.4816,-1.51719,88.8451,0.00173064
9453,1974 December 13,16:13:13,45,-310,151,P,1.0797,0.8266,66.8N,69.4W,0,176,,,1974-12-13 16:13:13,1974-12-13T16:13:13.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",260.923,0.295015,261.614,-0.00520421
9454,1975 May 11,07:17:33,46,-305,118,P,1.0647,0.8636,69.7N,80.2W,0,28,,,1975-05-11 07:17:33,1975-05-11T07:17:33.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",50.8471,0.347166,50.3305,0.000935481
9455,1975 November 3,13:15:54,46,-299,123,P,-1.0248,0.9588,70.4S,161.7W,0,141,,,1975-11-03 13:15:54,1975-11-03T13:15:54.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",220.804,-1.95891,220.826,-0.0043743
9456,1976 April 29,10:24:18,47,-293,128,A,0.3378,0.9421,34.0N,18.3E,70,165,227,06m41s,1976-04-29 10:24:18,1976-04-29T10:24:18.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",39.5663,-0.166901,39.5499,0.000840638
9457,1976 October 23,05:13:45,47,-287,133,T,-0.327,1.0572,30.0S,92.3E,71,17,199,04m46s,1976-10-23 05:13:45,1976-10-23T05:13:45.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",211.215,-0.740503,210.248,-0.0027549
9458,1977 April 18,10:31:30,48,-281,138,A,-0.39899999999999997,0.9449,11.9S,28.3E,66,345,220,07m04s,1977-04-18 10:31:30,1977-04-18T10:31:30.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",28.4828,-0.880275,28.5842,0.000169978
9459,1977 October 12,20:27:27,48,-275,143,T,0.3836,1.0269,14.1N,123.6W,67,197,99,02m37s,1977-10-12 20:27:27,1977-10-12T20:27:27.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",199.504,-0.350968,199.703,-0.00305428
9460,1978 April 7,15:03:47,49,-269,148,P,-1.1081,0.7883,71.9S,23.3E,0,293,,,1978-04-07 15:03:47,1978-04-07T15:03:47.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",16.8712,-1.40561,17.7339,0.000183673
9461,1978 October 2,06:28:43,49,-263,153,P,1.1616,0.6905,72.0N,159.6E,0,259,,,1978-10-02 06:28:43,1978-10-02T06:28:43.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",189.748,0.716856,189.009,-0.0017586
9462,1979 February 26,16:55:06,50,-258,120,T,0.8981,1.0391,52.1N,94.5W,26,153,298,02m49s,1979-02-26 16:55:06,1979-02-26T16:55:06.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",336.947,0.508388,337.785,-0.00182649
9463,1979 August 22,17:22:38,50,-252,125,A,-0.9632,0.9329,59.6S,108.5W,15,29,953,06m03s,1979-08-22 17:22:38,1979-08-22T17:22:38.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",149.008,-1.66375,149.301,-0.00117643
9464,1980 February 16,08:54:01,51,-246,130,T,0.2224,1.0434,0.1S,47.1E,77,166,149,04m08s,1980-02-16 08:54:01,1980-02-16T08:54:01.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",327.291,-0.703417,327.116,-0.00336621
9465,1980 August 10,19:12:21,51,-240,135,A,-0.1915,0.9727,4.6N,108.9W,79,12,100,03m23s,1980-08-10 19:12:21,1980-08-10T19:12:21.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",138.24,-1.02109,138.549,-0.00068823
9466,1981 February 4,22:09:24,51,-234,140,A,-0.4838,0.9937,44.4S,140.8W,61,344,25,00m33s,1981-02-04 22:09:24,1981-02-04T22:09:24.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",315.892,-0.837499,316.286,-0.00250065
9467,1981 July 31,03:46:37,52,-228,145,T,0.5792,1.0258,53.3N,134.1E,54,195,108,02m02s,1981-07-31 03:46:37,1981-07-31T03:46:37.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",128.865,0.0199827,128.11,0.000460676
9468,1982 January 25,04:42:53,52,-222,150,P,-1.2311,0.5663,69.3S,91.7W,0,203,,,1982-01-25 04:42:53,1982-01-25T04:42:53.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",305.52,-1.8233,305.136,-0.00371084
9469,1982 June 21,12:04:33,53,-217,117,P,-1.2102,0.6168,65.9S,13.2E,0,347,,,1982-06-21 12:04:33,1982-06-21T12:04:33.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",90.0021,-1.62338,90.0342,0.00132415
9470,1982 July 20,18:44:44,53,-216,155,P,1.2886,0.4643,68.6N,64.2E,0,345,,,1982-07-20 18:44:44,1982-07-20T18:44:44.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",117.325,0.428357,117.954,-0.000126767
9471,1982 December 15,09:32:09,53,-211,122,P,1.1293,0.735,65.3N,56.9E,0,199,,,1982-12-15 09:32:09,1982-12-15T09:32:09.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",263.735,0.21424,263.32,-0.00437351
9472,1983 June 11,04:43:33,53,-205,127,T,-0.4947,1.0524,6.2S,114.2E,60,351,199,05m11s,1983-06-11 04:43:33,1983-06-11T04:43:33.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",80.6592,-1.22167,79.9502,0.000426874
9473,1983 December 4,12:31:15,54,-199,132,A,0.4015,0.9666,0.9N,4.7W,66,192,131,04m01s,1983-12-04 12:31:15,1983-12-04T12:31:15.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",251.918,-0.502417,252.008,-0.00420312
9474,1984 May 30,16:45:41,54,-193,137,A,0.2755,0.998,37.5N,76.7W,74,163,7,00m11s,1984-05-30 16:45:41,1984-05-30T16:45:41.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",68.8771,-0.217508,69.6523,0.000816896
9475,1984 November 22,22:54:17,54,-187,142,T,-0.3132,1.0237,37.8S,173.6W,72,21,85,02m00s,1984-11-22 22:54:17,1984-11-22T22:54:17.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",241.085,-0.701631,241.043,-0.00287224
9476,1985 May 19,21:29:38,55,-181,147,P,1.072,0.8406,63.2N,81.1E,0,41,,,1985-05-19 21:29:38,1985-05-19T21:29:38.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",58.5055,0.250777,59.031,-0.00016686
9477,1985 November 12,14:11:27,55,-175,152,T,-0.9795,1.0388,68.6S,142.6W,11,111,690,01m59s,1985-11-12 14:11:27,1985-11-12T14:11:27.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",229.94,-1.94952,230.335,-0.0038968
9478,1986 April 9,06:21:22,55,-170,119,P,-1.0822,0.8236,61.2S,161.4E,0,286,,,1986-04-09 06:21:22,1986-04-09T06:21:22.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",19.7576,-1.79419,19.3013,-0.00145807
9479,1986 October 3,19:06:15,55,-164,124,H,0.9931,1.0,59.9N,37.1W,5,252,1,00m00s,1986-10-03 19:06:15,1986-10-03T19:06:15.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",190.268,0.124237,190.455,-0.00266449
9480,1987 March 29,12:49:47,55,-158,129,H,-0.3053,1.0013,12.3S,2.3W,72,331,5,00m08s,1987-03-29 12:49:47,1987-03-29T12:49:47.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",8.01054,-0.780139,8.4745,-0.000881464
9481,1987 September 23,03:12:22,56,-152,134,A,0.2787,0.9634,14.3N,138.4E,74,210,137,03m49s,1987-09-23 03:12:22,1987-09-23T03:12:22.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",180.556,-0.106478,179.739,-0.00118512
9482,1988 March 18,01:58:56,56,-146,139,T,0.4188,1.0464,20.7N,140.0E,65,149,169,03m46s,1988-03-18 01:58:56,1988-03-18T01:58:56.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",357.963,-0.395677,357.854,-0.00165692
9483,1988 September 11,04:44:29,56,-140,144,A,-0.4681,0.9377,20.0S,94.4E,62,31,258,06m57s,1988-09-11 04:44:29,1988-09-11T04:44:29.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",169.62,-0.74883,168.822,-0.000893015
