Catalog Number,Calendar Date,Eclipse Time,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth,Path Width (km),Central Duration,Datetime,ISO Date,location,moon_theta,moon_phi,sun_theta,sun_phi
9303,1909 December 12,19:44:48,10,-1114,150,P,-1.2456,0.5424,65.0S,86.0E,0,158,,,1909-12-12 19:44:48,1909-12-12T19:44:48.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",260.853,-1.61204,261.433,-0.0131569
9304,1910 May 9,05:42:13,11,-1109,117,T,-0.9437,1.06,48.2S,125.2E,19,328,594,04m15s,1910-05-09 05:42:13,1910-05-09T05:42:13.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",49.5819,-1.78411,48.9708,0.00733719
9305,1910 November 2,02:08:32,12,-1103,122,P,1.0603,0.8515,61.9N,155.1W,0,238,,,1910-11-02 02:08:32,1910-11-02T02:08:32.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",220.734,0.611703,220.03,-0.00909492
9306,1911 April 28,22:27:22,12,-1097,127,T,-0.2294,1.0562,1.9N,151.9W,77,336,190,04m57s,1911-04-28 22:27:22,1911-04-28T22:27:22.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",38.3618,-0.976063,38.7379,0.00610339
9307,1911 October 22,04:13:02,13,-1091,132,A,0.3224,0.965,6.3N,121.4E,71,206,133,03m47s,1911-10-22 04:13:02,1911-10-22T04:13:02.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",209.738,-0.0485291,208.877,-0.00731908
9308,1912 April 17,11:34:22,14,-1085,137,H,0.528,1.0003,38.4N,11.3W,58,146,1,00m02s,1912-04-17 11:34:22,1912-04-17T11:34:22.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",28.0059,0.0338729,28.3076,0.00501613
9309,1912 October 10,13:36:14,14,-1079,142,T,-0.4149,1.0229,28.1S,40.1W,65,32,85,01m55s,1912-10-10 13:36:14,1912-10-10T13:36:14.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",197.932,-1.282,198.09,-0.00649958
9310,1913 April 6,17:33:07,15,-1073,147,P,1.3147,0.4244,61.2N,175.7E,0,77,,,1913-04-06 17:33:07,1913-04-06T17:33:07.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",16.5591,0.857936,17.5158,0.00335325
9311,1913 August 31,20:52:12,15,-1068,114,P,1.4512,0.1513,61.5N,26.8W,0,288,,,1913-08-31 20:52:12,1913-08-31T20:52:12.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",159.064,0.576193,159.015,0.000922243
9312,1913 September 30,04:45:49,15,-1067,152,P,-1.1005,0.8252,61.0S,11.6E,0,95,,,1913-09-30 04:45:49,1913-09-30T04:45:49.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",188.463,-1.47998,187.619,-0.00352758
9313,1914 February 25,00:13:01,16,-1062,119,A,-0.9416,0.9248,62.1S,113.3W,19,287,839,05m35s,1914-02-25 00:13:01,1914-02-25T00:13:01.000,"(4461340.48313723, 919588.07009129, 4449530.22143979) m",336.777,-1.3683,336.757,-0.00503441
